Reporting starts,Reporting ends,Campaign,Delivery,Mobile app installs,Mobile app actions,Cost per mobile app install,Cost per mobile app action,Desktop app installs,Desktop app engagement,Cost per desktop app install,Cost per desktop app engagement,Post reactions,Post comments,Post shares
2015-11-01,2015-11-01,16,inactive,25.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2015-07-15,2015-07-15,16,inactive,54.0,0.0,1.502962963,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2015-10-26,2015-10-26,29,inactive,12.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2015-08-27,2015-08-27,29,inactive,21.0,0.0,1.571428571,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2015-08-25,2015-08-25,29,inactive,20.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2015-12-16,2015-12-16,58,inactive,40.0,0.0,0.825,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2015-09-28,2015-09-28,58,inactive,26.0,0.0,1.269230769,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0
2015-09-17,2015-09-17,58,inactive,43.0,0.0,0.7674418605,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2015-07-05,2015-07-05,69,inactive,10.0,0.0,2.748,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
2015-07-02,2015-07-02,61,inactive,13.0,0.0,2.325384615,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2015-04-21,2015-04-21,73,inactive,24.0,0.0,1.244583333,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2015-04-05,2015-04-05,73,inactive,63.0,0.0,1.655238095,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2015-09-10,2015-09-10,17,inactive,24.0,0.0,1.375,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2015-10-30,2015-10-30,29,inactive,17.0,0.0,1.941176471,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2015-08-15,2015-08-15,29,inactive,38.0,0.0,0.8684210526,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
2016-02-06,2016-02-06,58,inactive,41.0,0.0,0.8034146341,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2016-01-27,2016-01-27,58,inactive,35.0,0.0,0.9405714286,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0
2016-01-23,2016-01-23,58,inactive,47.0,0.0,0.7021276596,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2016-01-22,2016-01-22,58,inactive,41.0,0.0,0.8048780488,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2016-01-21,2016-01-21,58,inactive,45.0,0.0,0.7331111111,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2016-01-20,2016-01-20,58,inactive,20.0,0.0,1.6495,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0
2016-01-17,2016-01-17,58,inactive,41.0,0.0,0.8048780488,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0
2015-12-22,2015-12-22,58,inactive,25.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
2015-12-19,2015-12-19,58,inactive,31.0,0.0,1.064516129,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2015-12-11,2015-12-11,58,inactive,31.0,0.0,1.062903226,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2015-12-08,2015-12-08,58,inactive,36.0,0.0,0.9166666667,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2015-12-06,2015-12-06,58,inactive,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2015-12-05,2015-12-05,58,inactive,38.0,0.0,0.8665789474,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2015-11-20,2015-11-20,58,inactive,46.0,0.0,0.7173913043,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2015-11-07,2015-11-07,58,inactive,68.0,0.0,0.4852941176,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2015-09-24,2015-09-24,58,inactive,37.0,0.0,0.8913513514,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0
2015-05-19,2015-05-19,73,inactive,34.0,0.0,1.142941176,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
2015-04-12,2015-04-12,73,inactive,56.0,0.0,0.9605357143,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0
2015-04-06,2015-04-06,73,inactive,85.0,0.0,1.455529412,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0
2015-03-25,2015-03-25,74,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2015-10-31,2015-10-31,16,inactive,13.0,0.0,2.538461538,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-10-23,2015-10-23,29,inactive,20.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-10-21,2015-10-21,29,inactive,19.0,0.0,1.736842105,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
2015-08-26,2015-08-26,29,inactive,18.0,0.0,1.829444444,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-08-20,2015-08-20,29,inactive,25.0,0.0,1.3192,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-08-13,2015-08-13,29,inactive,22.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-08-05,2015-08-05,29,inactive,14.0,0.0,2.357142857,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2016-02-15,2016-02-15,58,inactive,32.0,0.0,1.03125,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
2016-02-13,2016-02-13,58,inactive,47.0,0.0,0.7021276596,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
2016-02-03,2016-02-03,58,inactive,48.0,0.0,0.6858333333,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0
2016-01-14,2016-01-14,58,inactive,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2016-01-10,2016-01-10,58,inactive,62.0,0.0,0.5322580645,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-12-21,2015-12-21,58,inactive,28.0,0.0,1.178571429,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-11-11,2015-11-11,58,inactive,48.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-09-27,2015-09-27,58,inactive,44.0,0.0,0.7477272727,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
2015-09-26,2015-09-26,58,inactive,28.0,0.0,1.178571429,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
2015-09-23,2015-09-23,58,inactive,35.0,0.0,0.9428571429,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0
2015-09-20,2015-09-20,58,inactive,56.0,0.0,0.5892857143,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
2015-09-19,2015-09-19,58,inactive,59.0,0.0,0.5593220339,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-09-16,2015-09-16,58,inactive,64.0,0.0,0.51421875,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-09-15,2015-09-15,58,inactive,73.0,0.0,0.4520547945,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
2015-09-12,2015-09-12,58,inactive,18.0,0.0,1.833333333,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-10-08,2015-10-08,72,inactive,53.0,0.0,0.6211320755,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-10-05,2015-10-05,72,inactive,59.0,0.0,0.5501694915,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-05-16,2015-05-16,73,inactive,38.0,0.0,1.259736842,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-05-14,2015-05-14,73,inactive,43.0,0.0,1.148837209,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-04-10,2015-04-10,73,inactive,33.0,0.0,0.8709090909,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-09-11,2015-09-11,17,inactive,10.0,0.0,1.864,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2015-09-09,2015-09-09,17,inactive,16.0,0.0,2.0625,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2015-07-20,2015-07-20,16,inactive,18.0,0.0,1.235,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2015-07-15,2015-07-15,17,inactive,24.0,0.0,1.657083333,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-10-31,2015-10-31,29,inactive,14.0,0.0,2.335714286,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-10-27,2015-10-27,29,inactive,16.0,0.0,2.0625,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-08-24,2015-08-24,29,inactive,22.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-08-21,2015-08-21,29,inactive,16.0,0.0,2.060625,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2015-08-11,2015-08-11,29,inactive,42.0,0.0,1.04047619,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2015-07-26,2015-07-26,29,inactive,14.0,0.0,1.075,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2016-03-16,2016-03-16,58,inactive,15.0,0.0,1.086666667,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2016-03-11,2016-03-11,58,inactive,25.0,0.0,0.652,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2016-02-21,2016-02-21,58,inactive,42.0,0.0,0.7857142857,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2016-02-19,2016-02-19,58,inactive,42.0,0.0,0.7857142857,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
2016-02-18,2016-02-18,58,inactive,42.0,0.0,0.7857142857,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2016-02-14,2016-02-14,58,inactive,34.0,0.0,0.9705882353,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
2016-02-04,2016-02-04,58,inactive,33.0,0.0,0.9906060606,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2016-01-19,2016-01-19,58,inactive,39.0,0.0,0.8461538462,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2016-01-13,2016-01-13,58,inactive,25.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2016-01-07,2016-01-07,58,inactive,32.0,0.0,1.03125,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-12-07,2015-12-07,58,inactive,42.0,0.0,0.7857142857,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-12-03,2015-12-03,58,inactive,40.0,0.0,0.77475,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2015-11-23,2015-11-23,58,inactive,45.0,0.0,0.7333333333,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-11-12,2015-11-12,58,inactive,37.0,0.0,0.8918918919,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2015-09-13,2015-09-13,58,inactive,28.0,0.0,1.178571429,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
2015-06-29,2015-06-29,69,inactive,19.0,0.0,2.609473684,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2015-05-17,2015-05-17,71,inactive,5.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0
2015-05-09,2015-05-09,71,inactive,8.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0
2015-10-11,2015-10-11,72,inactive,45.0,0.0,0.7273333333,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-10-09,2015-10-09,72,inactive,35.0,0.0,0.9265714286,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-10-06,2015-10-06,72,inactive,57.0,0.0,0.5766666667,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0
2015-05-27,2015-05-27,73,inactive,30.0,0.0,1.647333333,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-05-10,2015-05-10,73,inactive,41.0,0.0,1.245121951,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-04-30,2015-04-30,73,inactive,14.0,0.0,1.318571429,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-04-19,2015-04-19,73,inactive,39.0,0.0,1.19974359,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2015-11-04,2015-11-04,16,inactive,15.0,0.0,2.372,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-11-03,2015-11-03,16,inactive,12.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-09-08,2015-09-08,16,inactive,9.0,0.0,1.241111111,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-07-19,2015-07-19,17,inactive,24.0,0.0,1.179166667,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-10-28,2015-10-28,29,inactive,19.0,0.0,1.736842105,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-10-24,2015-10-24,29,inactive,14.0,0.0,2.357142857,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-10-22,2015-10-22,29,inactive,17.0,0.0,1.938235294,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-08-23,2015-08-23,29,inactive,17.0,0.0,1.938235294,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
2015-08-22,2015-08-22,29,inactive,13.0,0.0,2.536923077,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
2015-07-13,2015-07-13,29,inactive,13.0,0.0,1.389230769,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-07-05,2015-07-05,31,inactive,11.0,0.0,2.325454545,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2016-03-25,2016-03-25,58,inactive,18.0,0.0,0.9055555556,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2016-03-24,2016-03-24,58,inactive,15.0,0.0,1.086666667,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
2016-03-23,2016-03-23,58,inactive,16.0,0.0,1.01875,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2016-03-22,2016-03-22,58,inactive,24.0,0.0,0.6791666667,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2016-02-23,2016-02-23,58,inactive,37.0,0.0,0.8918918919,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0
2016-02-20,2016-02-20,58,inactive,40.0,0.0,0.825,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2016-02-07,2016-02-07,58,inactive,54.0,0.0,0.6083333333,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
2016-01-26,2016-01-26,58,inactive,37.0,0.0,0.8916216216,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2016-01-24,2016-01-24,58,inactive,39.0,0.0,0.8453846154,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2016-01-18,2016-01-18,58,inactive,38.0,0.0,0.8684210526,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2016-01-12,2016-01-12,58,inactive,40.0,0.0,0.825,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2016-01-05,2016-01-05,58,inactive,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2016-01-04,2016-01-04,58,inactive,59.0,0.0,0.5593220339,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-12-23,2015-12-23,58,inactive,37.0,0.0,0.8918918919,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-12-15,2015-12-15,58,inactive,49.0,0.0,0.6726530612,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-12-10,2015-12-10,58,inactive,38.0,0.0,0.8684210526,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-12-09,2015-12-09,58,inactive,44.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-11-21,2015-11-21,58,inactive,49.0,0.0,0.6734693878,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-11-15,2015-11-15,58,inactive,67.0,0.0,0.4925373134,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-11-14,2015-11-14,58,inactive,51.0,0.0,0.6470588235,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-11-08,2015-11-08,58,inactive,60.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-11-06,2015-11-06,58,inactive,46.0,0.0,0.7173913043,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-11-05,2015-11-05,58,inactive,51.0,0.0,0.6470588235,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-09-18,2015-09-18,58,inactive,38.0,0.0,0.8642105263,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-07-01,2015-07-01,61,inactive,11.0,0.0,2.138181818,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-06-30,2015-06-30,69,inactive,11.0,0.0,2.558181818,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-05-13,2015-05-13,71,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-05-11,2015-05-11,71,inactive,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-10-12,2015-10-12,72,inactive,54.0,0.0,0.6111111111,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-10-04,2015-10-04,72,inactive,22.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-05-28,2015-05-28,73,inactive,42.0,0.0,1.159285714,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-05-21,2015-05-21,73,inactive,17.0,0.0,1.514117647,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
2015-05-12,2015-05-12,73,inactive,25.0,0.0,1.3116,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-04-28,2015-04-28,72,inactive,11.0,0.0,1.110909091,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-04-27,2015-04-27,72,inactive,12.0,0.0,1.720833333,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-04-26,2015-04-26,72,inactive,19.0,0.0,1.466842105,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-04-01,2015-04-01,73,inactive,57.0,0.0,1.387017544,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-03-30,2015-03-30,73,inactive,55.0,0.0,1.729272727,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2015-03-29,2015-03-29,73,inactive,64.0,0.0,2.0078125,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-03-07,2015-03-07,75,inactive,18.0,0.0,2.777777778,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2014-12-13,2014-12-13,78,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-09-08,2015-09-08,17,inactive,3.0,0.0,5.36,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2015-08-29,2015-08-29,16,inactive,18.0,0.0,1.831111111,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2015-08-28,2015-08-28,16,inactive,14.0,0.0,1.350714286,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-07-22,2015-07-22,16,inactive,5.0,0.0,1.208,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-07-16,2015-07-16,16,inactive,25.0,0.0,1.464,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2015-10-29,2015-10-29,29,inactive,18.0,0.0,1.833333333,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-10-25,2015-10-25,29,inactive,19.0,0.0,1.733684211,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-08-18,2015-08-18,29,inactive,14.0,0.0,2.353571429,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2015-08-12,2015-08-12,29,inactive,17.0,0.0,1.941176471,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-08-09,2015-08-09,29,inactive,14.0,0.0,2.351428571,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-07-19,2015-07-19,29,inactive,14.0,0.0,1.392142857,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-07-05,2015-07-05,44,inactive,7.0,0.0,2.582857143,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-07-01,2015-07-01,50,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-06-20,2015-06-20,52,inactive,2.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2016-03-29,2016-03-29,58,inactive,32.0,0.0,0.509375,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2016-03-28,2016-03-28,58,inactive,25.0,0.0,0.652,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2016-03-21,2016-03-21,58,inactive,22.0,0.0,0.7409090909,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2016-03-20,2016-03-20,58,inactive,22.0,0.0,0.7409090909,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2016-03-19,2016-03-19,58,inactive,27.0,0.0,0.6037037037,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2016-03-17,2016-03-17,58,inactive,17.0,0.0,0.9588235294,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2016-03-14,2016-03-14,58,inactive,14.0,0.0,1.164285714,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2016-03-13,2016-03-13,58,inactive,27.0,0.0,0.6037037037,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2016-02-26,2016-02-26,58,inactive,17.0,0.0,0.9588235294,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2016-02-22,2016-02-22,58,inactive,39.0,0.0,0.8461538462,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2016-02-17,2016-02-17,58,inactive,48.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2016-02-16,2016-02-16,58,inactive,31.0,0.0,1.064516129,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
